position_key,coach_id,candidate_name,current_role,current_side,target_position,target_side,degree,years_together,coach_value,connection_score
Defensive Coordinator_Defense,891,Al Holcomb,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,5,0.6023204147124167,1.5058010367810417
Defensive Coordinator_Defense,1335,Frank Okam,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,2,0.9854356948901506,1.478153542335226
Defensive Coordinator_Defense,1217,Bob Babich,Defensive Coordinator,Defense,Defensive Coordinator,Defense,1,4,0.5511482254697286,1.3778705636743216
Defensive Coordinator_Defense,1225,Marcus West,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,2,0.6966181189829672,1.0449271784744507
Defensive Coordinator_Defense,1232,Scott Booker,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,1,0.830165391261417,0.830165391261417
Offensive Coordinator_Offense,1227,Rob Boras,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,2,0.9842014317452481,1.4763021476178722
Offensive Coordinator_Offense,115,Aaron Kromer,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,4,0.5796099728462109,1.449024932115527
Offensive Coordinator_Offense,1216,Austin Gund,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,4,0.5796099728462109,1.449024932115527
Offensive Coordinator_Offense,1259,Pat Meyer,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,2,0.8666995803505307,1.300049370525796
Offensive Coordinator_Offense,1336,Frisman Jackson,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,2,0.7570970130831893,1.1356455196247839
Position Coach - Defense_Defense,1225,Marcus West,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,2,0.6966181189829672,1.0449271784744507
Position Coach - Defense_Defense,1232,Scott Booker,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,1,0.830165391261417,0.830165391261417
Position Coach - Defense_Defense,2179,Brian Young,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,2,0.4764255739323624,0.7146383608985436
Position Coach - Defense_Defense,1220,Jason Rebrovich,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,1,0.6966181189829672,0.6966181189829672
Position Coach - Defense_Defense,113,Gregg Williams,Position Coach - Defense,Defense,Position Coach - Defense,Defense,2,0,0.9526042952357443,0.47630214761787215
Position Coach - Offense_Offense,1216,Austin Gund,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,4,0.5796099728462109,1.449024932115527
Position Coach - Offense_Offense,1259,Pat Meyer,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,2,0.8666995803505307,1.300049370525796
Position Coach - Offense_Offense,1336,Frisman Jackson,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,2,0.7570970130831893,1.1356455196247839
Position Coach - Offense_Offense,1222,Kelly Skipper,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,2,0.6936558874352012,1.0404838311528017
Position Coach - Offense_Offense,1991,Brendan Nugent,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,2,0.6339175512219205,0.9508763268328808
Position Coach - Special Teams_Special Teams,1625,Zach Line,Specialist Coach,Special Teams,Position Coach - Special Teams,Special Teams,2,0,NA,0.15
Position Coach - Special Teams_Special Teams,1723,Kyle Wilber,Specialist Coach,Special Teams,Position Coach - Special Teams,Special Teams,2,0,NA,0.15
Specialist Coach_Defense,1063,Ryan Nielsen,Specialist Coach,Defense,Specialist Coach,Defense,1,1,NA,0.3
Specialist Coach_Defense,1212,Sean Ryan,Specialist Coach,Defense,Specialist Coach,Defense,1,1,NA,0.3
Specialist Coach_Defense,1230,Christian Taylor,Specialist Coach,Defense,Specialist Coach,Defense,1,1,NA,0.3
Specialist Coach_Defense,9,Dom Capers,Specialist Coach,Defense,Specialist Coach,Defense,2,0,NA,0.15
Specialist Coach_Defense,66,John Pagano,Specialist Coach,Defense,Specialist Coach,Defense,2,0,NA,0.15
Specialist Coach_Offense,1223,Kyle Shurmur,Specialist Coach,Offense,Specialist Coach,Offense,1,2,NA,0.44999999999999996
Specialist Coach_Offense,1218,DJ Mangas,Specialist Coach,Offense,Specialist Coach,Offense,1,1,NA,0.3
Specialist Coach_Offense,330,Marc Trestman,Specialist Coach,Offense,Specialist Coach,Offense,2,0,NA,0.15
Specialist Coach_Offense,532,Mike Sullivan,Specialist Coach,Offense,Specialist Coach,Offense,2,0,NA,0.15
Specialist Coach_Offense,571,Pete Carmichael,Specialist Coach,Offense,Specialist Coach,Offense,2,0,NA,0.15
Specialist Coach_Special Teams,1723,Kyle Wilber,Specialist Coach,Special Teams,Specialist Coach,Special Teams,2,0,NA,0.15
Specialist Coordinator_Defense,1335,Frank Okam,Position Coach - Defense,Defense,Specialist Coordinator,Defense,1,2,0.9854356948901506,1.478153542335226
Specialist Coordinator_Defense,1225,Marcus West,Position Coach - Defense,Defense,Specialist Coordinator,Defense,1,2,0.6966181189829672,1.0449271784744507
Specialist Coordinator_Defense,1232,Scott Booker,Position Coach - Defense,Defense,Specialist Coordinator,Defense,1,1,0.830165391261417,0.830165391261417
Specialist Coordinator_Defense,2179,Brian Young,Position Coach - Defense,Defense,Specialist Coordinator,Defense,1,2,0.4764255739323624,0.7146383608985436
Specialist Coordinator_Defense,1220,Jason Rebrovich,Position Coach - Defense,Defense,Specialist Coordinator,Defense,1,1,0.6966181189829672,0.6966181189829672
Specialist Coordinator_Offense,115,Aaron Kromer,Position Coach - Offense,Offense,Specialist Coordinator,Offense,1,4,0.5796099728462109,1.449024932115527
Specialist Coordinator_Offense,1216,Austin Gund,Position Coach - Offense,Offense,Specialist Coordinator,Offense,1,4,0.5796099728462109,1.449024932115527
Specialist Coordinator_Offense,1259,Pat Meyer,Position Coach - Offense,Offense,Specialist Coordinator,Offense,1,2,0.8666995803505307,1.300049370525796
Specialist Coordinator_Offense,1336,Frisman Jackson,Position Coach - Offense,Offense,Specialist Coordinator,Offense,1,2,0.7570970130831893,1.1356455196247839
Specialist Coordinator_Offense,1222,Kelly Skipper,Position Coach - Offense,Offense,Specialist Coordinator,Offense,1,2,0.6936558874352012,1.0404838311528017
Specialist Coordinator_Special Teams,1233,Matthew Smiley,Specialist Coordinator,Special Teams,Specialist Coordinator,Special Teams,1,3,NA,0.6
Specialist Coordinator_Special Teams,1339,Chase Blackburn,Specialist Coordinator,Special Teams,Specialist Coordinator,Special Teams,1,2,NA,0.44999999999999996
Specialist Coordinator_Special Teams,1229,Chris Tabor,Specialist Coordinator,Special Teams,Specialist Coordinator,Special Teams,1,1,NA,0.3
