position_key,coach_id,candidate_name,current_role,current_side,target_position,target_side,degree,years_together,coach_value,connection_score
Defensive Coordinator_Defense,1558,Ryan Downard,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,4,0.722290792396939,1.8057269809923477
Defensive Coordinator_Defense,978,Jason Tarver,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,1,0.9242162429029869,0.9242162429029869
Defensive Coordinator_Defense,1315,Tem Lukabu,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,1,0.8760799802517897,0.8760799802517897
Defensive Coordinator_Defense,1722,Anthony Campanile,Defensive Coordinator,Defense,Defensive Coordinator,Defense,1,1,0.7515657620041754,0.7515657620041754
Defensive Coordinator_Defense,1717,Sean Duggan,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,2,0.4919772895581338,0.7379659343372007
Offensive Coordinator_Offense,1714,Adam Stenavich,Offensive Coordinator,Offense,Offensive Coordinator,Offense,1,2,0.9269311064718163,1.3903966597077244
Offensive Coordinator_Offense,1716,Ryan Mahaffey,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,2,0.8565786225623303,1.2848679338434954
Offensive Coordinator_Offense,1718,Sean Mannion,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,2,0.8091829177980745,1.2137743766971116
Offensive Coordinator_Offense,1704,Ben Sirmans,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,2,0.6588496667489508,0.9882745001234263
Offensive Coordinator_Offense,1715,Derrick Ansley,Specialist Coordinator,Offense,Offensive Coordinator,Offense,1,1,0.9791231732776617,0.9791231732776617
Position Coach - Defense_Defense,1315,Tem Lukabu,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,1,0.8760799802517897,0.8760799802517897
Position Coach - Defense_Defense,1717,Sean Duggan,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,2,0.4919772895581338,0.7379659343372007
Position Coach - Defense_Defense,1220,Jason Rebrovich,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,1,0.6966181189829672,0.6966181189829672
Position Coach - Defense_Defense,1721,Anthony Perkins,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,1,0.5038262157491977,0.5038262157491977
Position Coach - Defense_Defense,1745,Rod Wright,Position Coach - Defense,Defense,Position Coach - Defense,Defense,2,0,0.9854356948901506,0.4927178474450753
Position Coach - Offense_Offense,1718,Sean Mannion,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,2,0.8091829177980745,1.2137743766971116
Position Coach - Offense_Offense,1704,Ben Sirmans,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,2,0.6588496667489508,0.9882745001234263
Position Coach - Offense_Offense,1282,Bob Bicknell,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,1,0.8432485805973834,0.8432485805973834
Position Coach - Offense_Offense,1962,Mick Lombardi,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,1,0.6711922981979758,0.6711922981979758
Position Coach - Offense_Offense,1516,Ashton Grant,Position Coach - Offense,Offense,Position Coach - Offense,Offense,2,0,0.9876573685509751,0.49382868427548754
Position Coach - Special Teams_Special Teams,1706,Cory Harkey,Specialist Coach,Special Teams,Position Coach - Special Teams,Special Teams,1,1,NA,0.3
Position Coach - Special Teams_Special Teams,1723,Kyle Wilber,Specialist Coach,Special Teams,Position Coach - Special Teams,Special Teams,1,1,NA,0.3
Position Coach - Special Teams_Special Teams,2292,Ronald Blair III,Specialist Coach,Special Teams,Position Coach - Special Teams,Special Teams,2,0,NA,0.15
Specialist Coach_Defense,1691,Bill Sheridan,Specialist Coach,Defense,Specialist Coach,Defense,1,2,NA,0.44999999999999996
Specialist Coach_Defense,1280,Jim O'Neil,Specialist Coach,Defense,Specialist Coach,Defense,1,1,NA,0.3
Specialist Coach_Defense,1712,Jeff Koonz,Specialist Coach,Defense,Specialist Coach,Defense,1,1,NA,0.3
Specialist Coach_Defense,1720,Wendel Davis,Specialist Coach,Defense,Specialist Coach,Defense,1,1,NA,0.3
Specialist Coach_Defense,9,Dom Capers,Specialist Coach,Defense,Specialist Coach,Defense,2,0,NA,0.15
