position_key,coach_id,candidate_name,current_role,current_side,target_position,target_side,degree,years_together,coach_value,connection_score
Defensive Coordinator_Defense,999,Jeff Ulbrich,Defensive Coordinator,Defense,Defensive Coordinator,Defense,1,2,0.8517745302713987,1.2776617954070981
Defensive Coordinator_Defense,1121,Marquand Manuel,Specialist Coordinator,Defense,Defensive Coordinator,Defense,1,2,0.8288100208768268,1.2432150313152401
Defensive Coordinator_Defense,1722,Anthony Campanile,Defensive Coordinator,Defense,Defensive Coordinator,Defense,1,2,0.7515657620041754,1.127348643006263
Defensive Coordinator_Defense,1112,Doug Mallory,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,2,0.7415452974574179,1.1123179461861268
Defensive Coordinator_Defense,2035,Austin Clark,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,4,0.3994075536904468,0.998518884226117
Offensive Coordinator_Offense,1110,Chris Morgan,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,4,0.8792890644285362,2.1982226610713402
Offensive Coordinator_Offense,1034,Jon Embree,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,4,0.8173290545544311,2.0433226363860775
Offensive Coordinator_Offense,703,Eric Studesville,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,4,0.5645519624784004,1.411379906196001
Offensive Coordinator_Offense,2048,Josh Grizzard,Offensive Coordinator,Offense,Offensive Coordinator,Offense,1,2,0.9018789144050104,1.3528183716075157
Offensive Coordinator_Offense,771,Chris Foerster,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,2,0.8886694643297951,1.3330041964946926
Position Coach - Defense_Defense,1112,Doug Mallory,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,2,0.7415452974574179,1.1123179461861268
Position Coach - Defense_Defense,2035,Austin Clark,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,4,0.3994075536904468,0.998518884226117
Position Coach - Defense_Defense,1127,Bryan Cox,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,2,0.5941742779560603,0.8912614169340904
Position Coach - Defense_Defense,1558,Ryan Downard,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,1,0.722290792396939,0.722290792396939
Position Coach - Defense_Defense,2039,Kynjee Cotton,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,2,0.3994075536904468,0.5991113305356701
Position Coach - Offense_Offense,703,Eric Studesville,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,4,0.5645519624784004,1.411379906196001
Position Coach - Offense_Offense,771,Chris Foerster,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,2,0.8886694643297951,1.3330041964946926
Position Coach - Offense_Offense,803,Bobby Turner,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,8,0.4939521105899778,1.2348802764749445
Position Coach - Offense_Offense,1057,Ike Hilliard,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,1,0.9461861268822513,0.9461861268822513
Position Coach - Offense_Offense,1965,Lemuel Jeanpierre,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,4,0.3520118489261911,0.8800296223154778
Position Coach - Special Teams_Special Teams,1625,Zach Line,Specialist Coach,Special Teams,Position Coach - Special Teams,Special Teams,2,0,NA,0
Position Coach - Special Teams_Special Teams,1706,Cory Harkey,Specialist Coach,Special Teams,Position Coach - Special Teams,Special Teams,2,0,NA,0
Position Coach - Special Teams_Special Teams,1723,Kyle Wilber,Specialist Coach,Special Teams,Position Coach - Special Teams,Special Teams,2,0,NA,0
Position Coach - Special Teams_Special Teams,2292,Ronald Blair III,Specialist Coach,Special Teams,Position Coach - Special Teams,Special Teams,2,0,NA,0
Specialist Coach_Defense,9,Dom Capers,Specialist Coach,Defense,Specialist Coach,Defense,2,0,NA,0
Specialist Coach_Defense,66,John Pagano,Specialist Coach,Defense,Specialist Coach,Defense,2,0,NA,0
Specialist Coach_Defense,112,Bill Johnson,Specialist Coach,Defense,Specialist Coach,Defense,2,0,NA,0
Specialist Coach_Defense,130,Joe Vitt,Specialist Coach,Defense,Specialist Coach,Defense,2,0,NA,0
Specialist Coach_Defense,290,Peter Giunta,Specialist Coach,Defense,Specialist Coach,Defense,2,0,NA,0
Specialist Coach_Offense,60,Tom Moore,Specialist Coach,Offense,Specialist Coach,Offense,2,0,NA,0
Specialist Coach_Offense,350,Ken Zampese,Specialist Coach,Offense,Specialist Coach,Offense,2,0,NA,0
Specialist Coach_Offense,503,Blaine Gautier,Specialist Coach,Offense,Specialist Coach,Offense,2,0,NA,0
Specialist Coach_Offense,532,Mike Sullivan,Specialist Coach,Offense,Specialist Coach,Offense,2,0,NA,0
Specialist Coach_Offense,571,Pete Carmichael,Specialist Coach,Offense,Specialist Coach,Offense,2,0,NA,0
Specialist Coach_Special Teams,1706,Cory Harkey,Specialist Coach,Special Teams,Specialist Coach,Special Teams,2,0,NA,0
Specialist Coach_Special Teams,1723,Kyle Wilber,Specialist Coach,Special Teams,Specialist Coach,Special Teams,2,0,NA,0
Specialist Coach_Special Teams,2292,Ronald Blair III,Specialist Coach,Special Teams,Specialist Coach,Special Teams,2,0,NA,0
Specialist Coordinator_Defense,1121,Marquand Manuel,Specialist Coordinator,Defense,Specialist Coordinator,Defense,1,2,0.8288100208768268,1.2432150313152401
Specialist Coordinator_Defense,1112,Doug Mallory,Position Coach - Defense,Defense,Specialist Coordinator,Defense,1,2,0.7415452974574179,1.1123179461861268
Specialist Coordinator_Defense,2035,Austin Clark,Position Coach - Defense,Defense,Specialist Coordinator,Defense,1,4,0.3994075536904468,0.998518884226117
Specialist Coordinator_Defense,1127,Bryan Cox,Position Coach - Defense,Defense,Specialist Coordinator,Defense,1,2,0.5941742779560603,0.8912614169340904
Specialist Coordinator_Defense,965,Joe Barry,Specialist Coordinator,Defense,Specialist Coordinator,Defense,1,2,0.546972860125261,0.8204592901878915
Specialist Coordinator_Offense,1034,Jon Embree,Position Coach - Offense,Offense,Specialist Coordinator,Offense,1,4,0.8173290545544311,2.0433226363860775
Specialist Coordinator_Offense,703,Eric Studesville,Position Coach - Offense,Offense,Specialist Coordinator,Offense,1,4,0.5645519624784004,1.411379906196001
Specialist Coordinator_Offense,771,Chris Foerster,Position Coach - Offense,Offense,Specialist Coordinator,Offense,1,2,0.8886694643297951,1.3330041964946926
Specialist Coordinator_Offense,803,Bobby Turner,Position Coach - Offense,Offense,Specialist Coordinator,Offense,1,8,0.4939521105899778,1.2348802764749445
Specialist Coordinator_Offense,1551,Brian Fleury,Specialist Coordinator,Offense,Specialist Coordinator,Offense,1,2,0.6555323590814196,0.9832985386221293
Specialist Coordinator_Special Teams,507,Jeff Rodgers,Specialist Coordinator,Special Teams,Specialist Coordinator,Special Teams,2,0,NA,0
Specialist Coordinator_Special Teams,675,Danny Crossman,Specialist Coordinator,Special Teams,Specialist Coordinator,Special Teams,1,3,NA,0
Specialist Coordinator_Special Teams,706,Danny Smith,Specialist Coordinator,Special Teams,Specialist Coordinator,Special Teams,1,2,NA,0
Specialist Coordinator_Special Teams,1030,Marquice Williams,Specialist Coordinator,Special Teams,Specialist Coordinator,Special Teams,2,0,NA,0
