position_key,coach_id,candidate_name,current_role,current_side,target_position,target_side,degree,years_together,coach_value,connection_score
Defensive Coordinator_Defense,113,Gregg Williams,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,5,0.9526042952357443,2.3815107380893608
Defensive Coordinator_Defense,1616,Jamar Cain,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,3,0.8921254011355221,1.7842508022710442
Defensive Coordinator_Defense,593,Billy Davis,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,4,0.6578622562330289,1.644655640582572
Defensive Coordinator_Defense,758,Matt Burke,Defensive Coordinator,Defense,Defensive Coordinator,Defense,1,2,0.9895615866388309,1.4843423799582462
Defensive Coordinator_Defense,757,Marcus Robertson,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,5,0.5805973833621328,1.451493458405332
Offensive Coordinator_Offense,631,Spencer Whipple,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,4,0.9335966428042458,2.3339916070106144
Offensive Coordinator_Offense,765,Kliff Kingsbury,Offensive Coordinator,Offense,Offensive Coordinator,Offense,1,4,0.7745302713987474,1.9363256784968685
Offensive Coordinator_Offense,1620,Lou Ayeni,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,3,0.8378178227598124,1.6756356455196249
Offensive Coordinator_Offense,1618,Keary Colbert,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,3,0.833127622809183,1.666255245618366
Offensive Coordinator_Offense,1623,Davis Webb,Specialist Coordinator,Offense,Offensive Coordinator,Offense,1,3,0.6743215031315241,1.3486430062630481
Position Coach - Defense_Defense,593,Billy Davis,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,4,0.6578622562330289,1.644655640582572
Position Coach - Defense_Defense,757,Marcus Robertson,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,5,0.5805973833621328,1.451493458405332
Position Coach - Defense_Defense,651,Chris Beake,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,2,0.8588002962231548,1.2882004443347321
Position Coach - Defense_Defense,1757,Bobby King,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,1,0.8847198222661071,0.8847198222661071
Position Coach - Defense_Defense,1428,Jeremiah Washburn,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,1,0.7042705504813627,0.7042705504813627
Position Coach - Offense_Offense,1618,Keary Colbert,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,3,0.833127622809183,1.666255245618366
Position Coach - Offense_Offense,663,Brian Natkin,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,4,0.5053073315230807,1.2632683288077018
Position Coach - Offense_Offense,764,Steve Heiden,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,4,0.5053073315230807,1.2632683288077018
Position Coach - Offense_Offense,776,Jim Dray,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,2,0.62873364601333,0.9431004690199951
Position Coach - Offense_Offense,771,Chris Foerster,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,1,0.8886694643297951,0.8886694643297951
Position Coach - Special Teams_Special Teams,1625,Zach Line,Specialist Coach,Special Teams,Position Coach - Special Teams,Special Teams,1,1,NA,0.3
Position Coach - Special Teams_Special Teams,1706,Cory Harkey,Specialist Coach,Special Teams,Position Coach - Special Teams,Special Teams,2,0,NA,0.15
Position Coach - Special Teams_Special Teams,1723,Kyle Wilber,Specialist Coach,Special Teams,Position Coach - Special Teams,Special Teams,2,0,NA,0.15
Position Coach - Special Teams_Special Teams,2292,Ronald Blair III,Specialist Coach,Special Teams,Position Coach - Special Teams,Special Teams,2,0,NA,0.15
Specialist Coach_Defense,130,Joe Vitt,Specialist Coach,Defense,Specialist Coach,Defense,1,3,NA,0.6
Specialist Coach_Defense,1612,Brian Niedermeyer,Specialist Coach,Defense,Specialist Coach,Defense,1,1,NA,0.3
Specialist Coach_Defense,1,Alec Osborne,Specialist Coach,Defense,Specialist Coach,Defense,2,0,NA,0.15
Specialist Coach_Defense,9,Dom Capers,Specialist Coach,Defense,Specialist Coach,Defense,2,0,NA,0.15
Specialist Coach_Defense,66,John Pagano,Specialist Coach,Defense,Specialist Coach,Defense,2,0,NA,0.15
Specialist Coach_Offense,760,Rob Grosso,Specialist Coach,Offense,Specialist Coach,Offense,1,5,NA,0.75
Specialist Coach_Offense,571,Pete Carmichael,Specialist Coach,Offense,Specialist Coach,Offense,1,2,NA,0.44999999999999996
Specialist Coach_Offense,1628,Favian Upshaw,Specialist Coach,Offense,Specialist Coach,Offense,1,2,NA,0.44999999999999996
Specialist Coach_Offense,532,Mike Sullivan,Specialist Coach,Offense,Specialist Coach,Offense,1,1,NA,0.3
Specialist Coach_Offense,1619,Logan Kilgore,Specialist Coach,Offense,Specialist Coach,Offense,1,1,NA,0.3
Specialist Coach_Special Teams,1706,Cory Harkey,Specialist Coach,Special Teams,Specialist Coach,Special Teams,2,0,NA,0.15
Specialist Coach_Special Teams,1723,Kyle Wilber,Specialist Coach,Special Teams,Specialist Coach,Special Teams,2,0,NA,0.15
Specialist Coach_Special Teams,2292,Ronald Blair III,Specialist Coach,Special Teams,Specialist Coach,Special Teams,2,0,NA,0.15
Specialist Coordinator_Defense,1616,Jamar Cain,Position Coach - Defense,Defense,Specialist Coordinator,Defense,1,3,0.8921254011355221,1.7842508022710442
Specialist Coordinator_Defense,593,Billy Davis,Position Coach - Defense,Defense,Specialist Coordinator,Defense,1,4,0.6578622562330289,1.644655640582572
Specialist Coordinator_Defense,757,Marcus Robertson,Position Coach - Defense,Defense,Specialist Coordinator,Defense,1,5,0.5805973833621328,1.451493458405332
Specialist Coordinator_Defense,1613,Jim Leonhard,Specialist Coordinator,Defense,Specialist Coordinator,Defense,1,2,0.9039665970772442,1.3559498956158664
Specialist Coordinator_Defense,651,Chris Beake,Position Coach - Defense,Defense,Specialist Coordinator,Defense,1,2,0.8588002962231548,1.2882004443347321
Specialist Coordinator_Offense,1620,Lou Ayeni,Position Coach - Offense,Offense,Specialist Coordinator,Offense,1,3,0.8378178227598124,1.6756356455196249
Specialist Coordinator_Offense,1618,Keary Colbert,Position Coach - Offense,Offense,Specialist Coordinator,Offense,1,3,0.833127622809183,1.666255245618366
Specialist Coordinator_Offense,1623,Davis Webb,Specialist Coordinator,Offense,Specialist Coordinator,Offense,1,3,0.6743215031315241,1.3486430062630481
Specialist Coordinator_Offense,663,Brian Natkin,Position Coach - Offense,Offense,Specialist Coordinator,Offense,1,4,0.5053073315230807,1.2632683288077018
Specialist Coordinator_Offense,764,Steve Heiden,Position Coach - Offense,Offense,Specialist Coordinator,Offense,1,4,0.5053073315230807,1.2632683288077018
Specialist Coordinator_Special Teams,507,Jeff Rodgers,Specialist Coordinator,Special Teams,Specialist Coordinator,Special Teams,1,4,NA,0.75
Specialist Coordinator_Special Teams,1118,Ben Kotwica,Specialist Coordinator,Special Teams,Specialist Coordinator,Special Teams,1,2,NA,0.44999999999999996
Specialist Coordinator_Special Teams,1626,Darren Rizzi,Specialist Coordinator,Special Teams,Specialist Coordinator,Special Teams,1,2,NA,0.44999999999999996
Specialist Coordinator_Special Teams,1643,Tom McMahon,Specialist Coordinator,Special Teams,Specialist Coordinator,Special Teams,1,1,NA,0.3
Specialist Coordinator_Special Teams,670,Darrin Simmons,Specialist Coordinator,Special Teams,Specialist Coordinator,Special Teams,2,0,NA,0.15
