position_key,coach_id,candidate_name,current_role,current_side,target_position,target_side,degree,years_together,coach_value,connection_score
Defensive Coordinator_Defense,529,Cory Undlin,Specialist Coordinator,Defense,Defensive Coordinator,Defense,1,4,0.9812108559498957,2.453027139874739
Defensive Coordinator_Defense,1740,Dino Vasso,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,5,0.9252036534189089,2.313009133547272
Defensive Coordinator_Defense,870,Jim Schwartz,Defensive Coordinator,Defense,Defensive Coordinator,Defense,1,5,0.8288100208768268,2.0720250521920667
Defensive Coordinator_Defense,1745,Rod Wright,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,3,0.9854356948901506,1.9708713897803012
Defensive Coordinator_Defense,1747,Stephen Adegoke,Position Coach - Defense,Defense,Defensive Coordinator,Defense,1,3,0.9252036534189089,1.8504073068378177
Offensive Coordinator_Offense,1634,Jake Moreland,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,3,0.80004937052579606,1.6000987410515921
Offensive Coordinator_Offense,2048,Josh Grizzard,Offensive Coordinator,Offense,Offensive Coordinator,Offense,1,2,0.9018789144050104,1.3528183716075157
Offensive Coordinator_Offense,1504,Duce Staley,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,2,0.8743520118489262,1.3115280177733892
Offensive Coordinator_Offense,1640,Chris Kuper,Position Coach - Offense,Offense,Offensive Coordinator,Offense,1,3,0.5102443841026907,1.0204887682053814
Offensive Coordinator_Offense,2246,Jeff Stoutland,Specialist Coordinator,Offense,Offensive Coordinator,Offense,1,2,0.6283924843423799,0.94258872651357
Position Coach - Defense_Defense,1745,Rod Wright,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,3,0.9854356948901506,1.9708713897803012
Position Coach - Defense_Defense,1747,Stephen Adegoke,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,3,0.9252036534189089,1.8504073068378177
Position Coach - Defense_Defense,593,Billy Davis,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,3,0.6578622562330289,1.3157245124660577
Position Coach - Defense_Defense,1335,Frank Okam,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,1,0.9854356948901506,0.9854356948901506
Position Coach - Defense_Defense,1242,Jacques Cesaire,Position Coach - Defense,Defense,Position Coach - Defense,Defense,1,1,0.9518637373488028,0.9518637373488028
Position Coach - Offense_Offense,1640,Chris Kuper,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,3,0.5102443841026907,1.0204887682053814
Position Coach - Offense_Offense,1738,Danny Barrett,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,4,0.361885954085411,0.9047148852135276
Position Coach - Offense_Offense,1434,Bo Hardegree,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,2,0.5606023204147124,0.8409034806220685
Position Coach - Offense_Offense,1645,Chris Strausser,Position Coach - Offense,Offense,Position Coach - Offense,Offense,1,2,0.44581584793878054,0.6687237719081708
Position Coach - Offense_Offense,867,Scott Linehan,Specialist Coach,Offense,Position Coach - Offense,Offense,1,3,NA,0.6
Position Coach - Special Teams_Special Teams,1625,Zach Line,Specialist Coach,Special Teams,Position Coach - Special Teams,Special Teams,2,0,NA,0.15
Position Coach - Special Teams_Special Teams,1706,Cory Harkey,Specialist Coach,Special Teams,Position Coach - Special Teams,Special Teams,2,0,NA,0.15
Position Coach - Special Teams_Special Teams,1723,Kyle Wilber,Specialist Coach,Special Teams,Position Coach - Special Teams,Special Teams,2,0,NA,0.15
Position Coach - Special Teams_Special Teams,2292,Ronald Blair III,Specialist Coach,Special Teams,Position Coach - Special Teams,Special Teams,2,0,NA,0.15
Specialist Coach_Defense,1751,Ryan Milus,Specialist Coach,Defense,Specialist Coach,Defense,1,2,NA,0.44999999999999996
Specialist Coach_Defense,1736,Cole Weeks,Specialist Coach,Defense,Specialist Coach,Defense,1,1,NA,0.3
Specialist Coach_Defense,1746,Sean Baker,Specialist Coach,Defense,Specialist Coach,Defense,1,1,NA,0.3
Specialist Coach_Defense,1,Alec Osborne,Specialist Coach,Defense,Specialist Coach,Defense,2,0,NA,0.15
Specialist Coach_Defense,9,Dom Capers,Specialist Coach,Defense,Specialist Coach,Defense,2,0,NA,0.15
Specialist Coach_Offense,867,Scott Linehan,Specialist Coach,Offense,Specialist Coach,Offense,1,3,NA,0.6
Specialist Coach_Offense,881,Bill Lazor,Specialist Coach,Offense,Specialist Coach,Offense,1,3,NA,0.6
Specialist Coach_Offense,1419,Mike Snyder,Specialist Coach,Offense,Specialist Coach,Offense,1,2,NA,0.44999999999999996
Specialist Coach_Offense,1750,Leander Wallace,Specialist Coach,Offense,Specialist Coach,Offense,1,2,NA,0.44999999999999996
Specialist Coach_Offense,760,Rob Grosso,Specialist Coach,Offense,Specialist Coach,Offense,1,1,NA,0.3
Specialist Coach_Special Teams,1706,Cory Harkey,Specialist Coach,Special Teams,Specialist Coach,Special Teams,2,0,NA,0.15
Specialist Coach_Special Teams,1723,Kyle Wilber,Specialist Coach,Special Teams,Specialist Coach,Special Teams,2,0,NA,0.15
Specialist Coach_Special Teams,2292,Ronald Blair III,Specialist Coach,Special Teams,Specialist Coach,Special Teams,2,0,NA,0.15
Specialist Coordinator_Defense,1740,Dino Vasso,Position Coach - Defense,Defense,Specialist Coordinator,Defense,1,5,0.9252036534189089,2.313009133547272
Specialist Coordinator_Defense,1745,Rod Wright,Position Coach - Defense,Defense,Specialist Coordinator,Defense,1,3,0.9854356948901506,1.9708713897803012
Specialist Coordinator_Defense,1747,Stephen Adegoke,Position Coach - Defense,Defense,Specialist Coordinator,Defense,1,3,0.9252036534189089,1.8504073068378177
Specialist Coordinator_Defense,593,Billy Davis,Position Coach - Defense,Defense,Specialist Coordinator,Defense,1,3,0.6578622562330289,1.3157245124660577
Specialist Coordinator_Defense,1484,Daronte Jones,Specialist Coordinator,Defense,Specialist Coordinator,Defense,1,1,1,1
Specialist Coordinator_Offense,1504,Duce Staley,Position Coach - Offense,Offense,Specialist Coordinator,Offense,1,2,0.8743520118489262,1.3115280177733892
Specialist Coordinator_Offense,1640,Chris Kuper,Position Coach - Offense,Offense,Specialist Coordinator,Offense,1,3,0.5102443841026907,1.0204887682053814
Specialist Coordinator_Offense,2246,Jeff Stoutland,Specialist Coordinator,Offense,Specialist Coordinator,Offense,1,2,0.6283924843423799,0.94258872651357
Specialist Coordinator_Offense,1738,Danny Barrett,Position Coach - Offense,Offense,Specialist Coordinator,Offense,1,4,0.361885954085411,0.9047148852135276
Specialist Coordinator_Offense,1426,Ben McDaniels,Specialist Coordinator,Offense,Specialist Coordinator,Offense,1,3,0.44467640918580376,0.8893528183716075
Specialist Coordinator_Special Teams,1626,Darren Rizzi,Specialist Coordinator,Special Teams,Specialist Coordinator,Special Teams,1,3,NA,0.6
Specialist Coordinator_Special Teams,1744,Frank Ross,Specialist Coordinator,Special Teams,Specialist Coordinator,Special Teams,1,3,NA,0.6
Specialist Coordinator_Special Teams,670,Darrin Simmons,Specialist Coordinator,Special Teams,Specialist Coordinator,Special Teams,1,2,NA,0.44999999999999996
Specialist Coordinator_Special Teams,675,Danny Crossman,Specialist Coordinator,Special Teams,Specialist Coordinator,Special Teams,1,2,NA,0.44999999999999996
Specialist Coordinator_Special Teams,1661,Dave Fipp,Specialist Coordinator,Special Teams,Specialist Coordinator,Special Teams,1,2,NA,0.44999999999999996
